Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Allentown-Bethlehem-Easton, PA",Black,25%,1443534.87,385629.52,1057905.35,166545.12,3370374.26,119246.52,11.26443556,1907044.18
"Allentown-Bethlehem-Easton, PA","White, Non-Hispanic",25%,5275435.9,1541234.6,3734201.3,612724.99,13002060.12,355392.52,40.57632318,6954440.02
"Allentown-Bethlehem-Easton, PA",All Students,25%,8223057.73,2104780.21,6118277.52,920029.54,17323331.37,668906.08,64.57861352,10873811.6
"Altoona, PA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Black,25%,59161.14,13020,46141.14,5900.06,119292.06,4421.69,0.4987405,75806.76
"Altoona, PA","White, Non-Hispanic",25%,1369932.96,345214.14,1024718.82,137887.25,3131782.99,85943.37,11.4064023,1752115.8
"Altoona, PA",All Students,25%,1286579.73,271135.03,1015444.71,129270.72,2604592.07,97758.88,10.88525281,1649469.09
"Amarillo, TX",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Amarillo, TX",Asian/Pacific Islander,25%,28948.67,8151.28,20797.4,2019.93,46973.01,3653.51,0.231363492,37031.63
"Amarillo, TX",Hispanic,25%,622946.99,156206.6,466740.38,44604.31,1006721.43,114060.78,5.053924914,798577.06
"Amarillo, TX",Black,25%,149037.7,36968.03,112069.66,10496.57,227802.71,28906.56,1.210714025,191092.12
"Amarillo, TX","White, Non-Hispanic",25%,884376.23,254332.16,630044.06,64065.99,1610452.51,118066.57,7.047300044,1130840.64
"Amarillo, TX",All Students,25%,1728711.97,432482.99,1296228.98,121023.5,2609861.97,257336.33,14.02883076,2216183.08
"Anchorage, AK",American Indian or Alaska Native,25%,1815369.9,528717.03,1286652.87,84216.18,5812020.76,134165.95,11.00802633,2321212.8
"Anchorage, AK",Asian/Pacific Islander,25%,611970.52,180951.82,431018.71,27659.65,1908878.86,41677.68,3.700659501,782289.89
"Anchorage, AK",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anchorage, AK",Black,25%,717347.85,209075.35,508272.51,31186.3,2152263.88,55315.7,4.349279864,917221.6
"Anchorage, AK","White, Non-Hispanic",25%,4640695.32,1489745.66,3150949.67,201623.98,13914698.55,281452.89,27.62167718,5923488.78
"Anchorage, AK",All Students,25%,5112092.49,1463056.66,3649035.83,220165.06,15194275.95,362710.69,31.09554557,6538475.5
"Appleton, WI",American Indian or Alaska Native,25%,54468.77,15347.64,39121.13,6988.32,158379.05,8064.17,0.399340821,68704.91
"Appleton, WI",Asian/Pacific Islander,25%,80064.18,23908.06,56156.12,10038.8,224642.56,9184.22,0.581089908,100911.16
"Appleton, WI",Hispanic,25%,48630.76,13599.09,35031.66,6290.14,143648.55,6736.09,0.356992702,61347.11
"Appleton, WI",Black,25%,62577.89,18002.74,44575.15,7876.43,175380.67,9305.15,0.457172128,78911.81
"Appleton, WI","White, Non-Hispanic",25%,691204.45,211991.43,479213.02,82530.13,1749760.07,90088.04,4.992143934,870852.19
"Appleton, WI",All Students,25%,801246.98,216860.25,584386.73,97597.04,2052111.17,111510.95,5.913392773,1011184.5
"Asheville, NC",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Asheville, NC",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Asheville, NC",Hispanic,25%,345697.48,82600.21,263097.28,29292.46,764327.57,46680.19,3.419559427,458779.04
"Asheville, NC",Black,25%,338499.69,79677.08,258822.62,28688.68,741452.5,47778.81,3.353861032,449362.44
"Asheville, NC","White, Non-Hispanic",25%,3782822.09,1024513.32,2758308.77,326856.47,10066729.4,430082.34,36.8672744,5006622.56
"Asheville, NC",All Students,25%,4152676.3,969363.92,3183312.37,349693.58,8716245.32,544479.9,41.18184236,5513641.85
"Atlanta-Sandy Springs-Marietta, GA",American Indian or Alaska Native,25%,274528.41,76237.99,198290.42,26796.1,643108.49,15427.29,2.269211999,374393.61
"Atlanta-Sandy Springs-Marietta, GA",Asian/Pacific Islander,25%,2089217.1,611342.24,1477874.86,199170.8,4617280.01,104729.58,17.11219232,2844069.43
"Atlanta-Sandy Springs-Marietta, GA",Hispanic,25%,13899780.95,3674574.07,10225206.88,1349487.92,30531592.38,815774.23,115.8280309,18986715.21
"Atlanta-Sandy Springs-Marietta, GA",Black,25%,53784853.52,14381346.26,39403507.26,5206027.03,117630646.4,3200289.27,447.3740475,73441769.01
"Atlanta-Sandy Springs-Marietta, GA","White, Non-Hispanic",25%,40934578.07,12278000.91,28656577.16,4024693.81,105196940.2,1962978.27,333.7731055,55675114.27
"Atlanta-Sandy Springs-Marietta, GA",All Students,25%,107028936.2,28197633.1,78831303.12,10362421.2,231455952.8,6093910.02,892.3684999,146214526.6
"Augusta-Richmond County, GA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Augusta-Richmond County, GA",Asian/Pacific Islander,25%,118828.95,32533.01,86295.94,9141.89,260254.97,9592.01,0.913037555,149225.32
"Augusta-Richmond County, GA",Hispanic,25%,296621.91,76801.03,219820.88,23121.62,660736.85,26847.34,2.294291443,372744.92
"Augusta-Richmond County, GA",Black,25%,6080385.05,1517203.06,4563182,475707.63,13392194.63,585149.06,47.22659519,7644018.46
"Augusta-Richmond County, GA","White, Non-Hispanic",25%,5686098.06,1625588.17,4060509.9,442587.32,13625647.08,432246.02,43.45311613,7136735.19
"Augusta-Richmond County, GA",All Students,25%,11864695.96,2934773.93,8929922.03,924339.2,25421896.58,1078948.71,92.242135,14917269.29
"Austin-Round Rock, TX",American Indian or Alaska Native,25%,122860.29,34342.13,88518.16,10764.91,192342.27,7617.35,0.982438452,164963.22
"Austin-Round Rock, TX",Asian/Pacific Islander,25%,194649.34,60035.69,134613.66,16540.49,301937.09,9880,1.532297135,260612.05
"Austin-Round Rock, TX",Hispanic,25%,10439081.25,2722084.93,7716996.33,920411.58,15764410.38,684635.22,84.31710747,14042258.2
"Austin-Round Rock, TX",Black,25%,2936856.08,782464.73,2154391.35,258838.73,4505635.52,196459.41,23.64956582,3948353.29
"Austin-Round Rock, TX","White, Non-Hispanic",25%,6485509.46,1964913.15,4520596.31,577155.99,11344821.86,338573.37,51.2067771,8687984.03
"Austin-Round Rock, TX",All Students,25%,19227669.13,5093812.16,14133856.97,1697444.29,29522282.91,1188691.64,154.9589983,25853788.69
"Bakersfield, CA",American Indian or Alaska Native,25%,164764.07,43013.44,121750.63,21514.85,504413.18,13436.08,1.163345101,211732.57
"Bakersfield, CA",Asian/Pacific Islander,25%,573209.4,158505.96,414703.43,74917.91,1822487.53,42130.53,4.0171065,736061.44
"Bakersfield, CA",Hispanic,25%,10245980.74,2477731.31,7768249.44,1354853.02,31424453.15,873337.78,73.01366278,13178983.54
"Bakersfield, CA",Black,25%,1167251.68,289882.68,877369,154799.02,3671189.28,101196.44,8.292043633,1500915.44
"Bakersfield, CA","White, Non-Hispanic",25%,6027178.41,1707051.32,4320127.09,792326.06,19832468.74,427058.41,42.10169913,7737027.49
"Bakersfield, CA",All Students,25%,18673886.47,4575078.4,14098808.07,2459676.36,56872614.11,1563881.71,132.8700479,24015774.01
"Baltimore-Towson, MD",American Indian or Alaska Native,25%,248083.59,74289.13,173794.46,29073.33,914016.23,12776.42,1.777510063,329686.66
"Baltimore-Towson, MD",Asian/Pacific Islander,25%,453346.2,143654.15,309692.05,52562.41,1663338.83,20518.28,3.214614979,601384.79
"Baltimore-Towson, MD",Hispanic,25%,1379475.29,408218.09,971257.2,162420.91,5117458.12,70531.01,9.904598,1833898.41
"Baltimore-Towson, MD",Black,25%,23861484.05,6875054.57,16986429.49,2831763.34,89356014.07,1283896.63,172.1163721,31747371.42
"Baltimore-Towson, MD","White, Non-Hispanic",25%,16081618.45,5170409.4,10911209.05,1936449.72,64750156.51,705107.42,113.7154774,21322799.43
"Baltimore-Towson, MD",All Students,25%,38462452.65,10992356.48,27470096.17,4560934.82,143358162.4,2000626.03,277.8162915,51186030.79
"Bangor, ME",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Black,25%,35317.89,8522.82,26795.07,3545.45,76249.05,3782.26,0.29073805,45504.42
"Bangor, ME","White, Non-Hispanic",25%,1327074.94,356640.11,970434.83,140009.71,3447906.59,115999.03,10.80744099,1707075.25
"Bangor, ME",All Students,25%,1169120.9,269755.23,899365.67,119606.88,2633995.9,120564,9.664049827,1507261.55
"Baton Rouge, LA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Baton Rouge, LA",Asian/Pacific Islander,25%,111464.23,31189.07,80275.16,10040.62,218864.16,5613.93,0.822440461,141381.7
"Baton Rouge, LA",Hispanic,25%,274215.1,69776.22,204438.88,25190.29,499697.29,15553.95,2.051515911,348263.29
"Baton Rouge, LA",Black,25%,7862204.01,1947581.94,5914622.07,732500.74,16002382.71,465856.98,59.03554824,9988702.98
"Baton Rouge, LA","White, Non-Hispanic",25%,6547859.61,1834787.75,4713071.87,589815.08,12923567.57,317040.81,48.30286342,8305164.44
"Baton Rouge, LA",All Students,25%,14510986.53,3511192.44,10999794.09,1351992.21,27310555.48,830488.21,109.2982048,18441158.68
"Beaumont-Port Arthur, TX",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Beaumont-Port Arthur, TX",Asian/Pacific Islander,25%,130681.58,36489.88,94191.7,8679.17,199015.67,11195.01,0.823592116,160866.88
"Beaumont-Port Arthur, TX",Hispanic,25%,823300.75,213981.61,609319.13,55256.02,1224061.05,82754.84,5.236601847,1013961.85
"Beaumont-Port Arthur, TX",Black,25%,2088620.02,536696.32,1551923.71,142320.44,3230591.91,224500.43,13.30319386,2572495.77
"Beaumont-Port Arthur, TX","White, Non-Hispanic",25%,2940660.25,858485.64,2082174.61,205903.69,5400411.97,251782.27,18.42026043,3618748.39
"Beaumont-Port Arthur, TX",All Students,25%,5565434.74,1416581.92,4148852.82,377144.34,8399218.83,545110.96,35.48906378,6855211.13
"Billings, MT",American Indian or Alaska Native,25%,244698.17,59970.37,184727.8,12711.82,460697.3,23496.53,2.078863955,318864.8
"Billings, MT",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Billings, MT",Hispanic,25%,113160.58,25430.96,87729.62,5772.05,204966.69,11109.27,0.971459506,147672.9
"Billings, MT",Black,25%,35538.73,8989.5,26549.23,1771.53,61243.97,3291.75,0.300697944,46284.32
"Billings, MT","White, Non-Hispanic",25%,1302900.74,347072.32,955828.42,72152.94,2792035.58,105258.55,10.94730725,1695222.61
"Billings, MT",All Students,25%,1435402.9,328354.01,1107048.89,72524.64,2547444.35,135691.68,12.29733733,1872643.35
"Binghamton, NY",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Binghamton, NY",Asian/Pacific Islander,25%,70418.62,19814.07,50604.55,8432.61,141780.44,5893.95,0.592893072,90480.98
"Binghamton, NY",Hispanic,25%,123810.41,31615.44,92194.97,14752.18,240927.14,12127.59,1.055733774,159328.3
"Binghamton, NY",Black,25%,239817.36,60318.85,179498.51,29074.76,485740.09,24448.99,2.048724265,308684.2
"Binghamton, NY","White, Non-Hispanic",25%,2348881.15,653812.58,1695068.58,294728.26,5271044.6,199042.48,19.80586447,3018619.04
"Binghamton, NY",All Students,25%,2185364.83,530972.16,1654392.67,265160.71,4404383.3,222580.7,18.74644111,2814338.57
"Birmingham, ALØ",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Birmingham, ALØ",Asian/Pacific Islander,25%,239868.01,74542.18,165325.83,21642.03,481780.49,11787.17,1.905156669,320203.72
"Birmingham, ALØ",Hispanic,25%,764067.87,198216.08,565851.79,72095.34,1487221.41,50608.85,6.241870187,1025005.33
"Birmingham, ALØ",Black,25%,7377250.6,1902858.82,5474391.78,697970.92,14545696.06,519474.57,60.31510475,9898069.77
"Birmingham, ALØ","White, Non-Hispanic",25%,7256765.98,2115926.91,5140839.06,672350.18,15695871.03,410846.66,58.25181373,9705056.13
"Birmingham, ALØ",All Students,25%,14906156.88,3786932.14,11119224.74,1413422.31,29012848.91,982200.82,122.125839,20007053.55
"Bismarck, ND ",American Indian or Alaska Native,25%,102783.18,26724.85,76058.33,8062.85,142375.53,7718.95,0.87780558,131635.27
"Bismarck, ND ",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ",Black,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ","White, Non-Hispanic",25%,487587.91,138936.04,348651.87,39095.08,769437.27,32366.32,4.112800095,623518.08
"Bismarck, ND ",All Students,25%,603676.13,150970.9,452705.23,47362.67,815702.31,45175.75,5.180935377,773596.2
"Bloomington-Normal, IL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bloomington-Normal, IL",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bloomington-Normal, IL",Hispanic,25%,216750.17,52685.2,164064.97,24801.12,554352.82,13783.65,1.422156195,266691.67
"Bloomington-Normal, IL",Black,25%,747136.55,189709.57,557426.97,85849.42,1957169.39,49861.57,4.880016674,919101.57
"Bloomington-Normal, IL","White, Non-Hispanic",25%,1818347.62,513565.46,1304782.16,213162.35,5162364.11,99922.23,11.7350439,2235697.18
"Bloomington-Normal, IL",All Students,25%,2394067.92,589578.84,1804489.08,275885.51,6252784.32,158317.97,15.68720169,2945513.23
"Boise City-Nampa, ID",American Indian or Alaska Native,25%,97771.98,24616.29,73155.69,9919.53,255732.31,6873.38,0.959140559,133097.28
"Boise City-Nampa, ID",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Boise City-Nampa, ID",Hispanic,25%,1440298.72,353463.63,1086835.08,145222.92,3631282.72,101040.08,14.18064697,1961975.64
"Boise City-Nampa, ID",Black,25%,128725.26,33090.79,95634.48,12726.04,309285.63,9500.67,1.258973376,175137.96
"Boise City-Nampa, ID","White, Non-Hispanic",25%,6279869.96,1755318.5,4524551.46,635229.53,17225821.87,381335.17,60.62902559,8524226.78
"Boise City-Nampa, ID",All Students,25%,7321355.09,1774279.03,5547076.06,731303.21,17687410.14,510402.91,72.20918127,9976321.39
"Boston-Cambridge-Quincy, MA-NH",American Indian or Alaska Native,25%,276798.39,82508.37,194290.02,29174.56,1078993.3,19747.15,1.45708554,361525.09
"Boston-Cambridge-Quincy, MA-NH",Asian/Pacific Islander,25%,2169235.83,695174.84,1474060.99,228493.96,8634436.88,129165.54,11.2625424,2826909
"Boston-Cambridge-Quincy, MA-NH",Hispanic,25%,9051985.76,2585377.64,6466608.12,951083.98,34610872.48,655302.23,48.0138216,11837441.13
"Boston-Cambridge-Quincy, MA-NH",Black,25%,6205334.28,1795812.27,4409522.01,633397.61,22365783.98,463035.81,32.83888398,8111769.58
"Boston-Cambridge-Quincy, MA-NH","White, Non-Hispanic",25%,19290443.44,6196330.08,13094113.35,2080909.01,80665689.18,1138668.02,100.1086824,25137094.05
"Boston-Cambridge-Quincy, MA-NH",All Students,25%,31986344.8,9156588.21,22829756.58,3283378.48,116336570.8,2255064.51,169.5958586,41826396.02
"Bradenton-Sarasota-Venice, FL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bradenton-Sarasota-Venice, FL",Asian/Pacific Islander,25%,67130.27,18558.65,48571.62,4667.48,159816.11,6469.99,0.488235749,85895.07
"Bradenton-Sarasota-Venice, FL",Hispanic,25%,1330909.54,341404.61,989504.93,93232.49,3086799.52,146013.97,9.758379143,1704711.66
"Bradenton-Sarasota-Venice, FL",Black,25%,1166595.1,296313.97,870281.13,82131.23,2726924.61,133403.76,8.56233216,1494444.28
"Bradenton-Sarasota-Venice, FL","White, Non-Hispanic",25%,4670238.38,1350931.43,3319306.94,330395.97,11963313.54,427514.82,33.78899884,5971699.18
"Bradenton-Sarasota-Venice, FL",All Students,25%,6821645.74,1725599.72,5096046.02,481067.11,15980341.45,723006.23,50.08913689,8739212.97
"Bridgeport-Stamford-Norwalk, CT",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bridgeport-Stamford-Norwalk, CT",Asian/Pacific Islander,25%,444290.53,151310.56,292979.97,61288.42,1834800.35,20552.86,1.794087997,555607.68
"Bridgeport-Stamford-Norwalk, CT",Hispanic,25%,2944523.91,855460.49,2089063.42,416367.82,12248987.02,182308.53,12.18406165,3690456.65
"Bridgeport-Stamford-Norwalk, CT",Black,25%,1843994.93,539105.35,1304889.59,259348.23,7591401.81,115868.16,7.623480726,2310944.47
"Bridgeport-Stamford-Norwalk, CT","White, Non-Hispanic",25%,3671943.72,1233245.75,2438697.97,534247.15,16934334.08,174519.6,14.86214898,4592910.92
"Bridgeport-Stamford-Norwalk, CT",All Students,25%,8106192.11,2411759.1,5694433.01,1140502.53,33565548.46,472003.64,33.4293283,10156575.91
"Buffalo-Niagara Falls, NY",American Indian or Alaska Native,25%,246768.03,63466.42,183301.61,31659.33,491312.65,23661.89,2.322852164,335429.06
"Buffalo-Niagara Falls, NY",Asian/Pacific Islander,25%,181283.11,53748.28,127534.83,23287.26,372008.94,13712.57,1.668409963,245448.99
"Buffalo-Niagara Falls, NY",Hispanic,25%,1083864.51,282802.83,801061.68,139772.94,2188945.76,99704.09,10.18094421,1472736.2
"Buffalo-Niagara Falls, NY",Black,25%,4189557.91,1061492.38,3128065.53,546708.33,8643139.56,412011.5,39.52225281,5696995.12
"Buffalo-Niagara Falls, NY","White, Non-Hispanic",25%,6374105.64,1820341.42,4553764.22,856660.72,14316160.74,519910.75,59.0340568,8639681.5
"Buffalo-Niagara Falls, NY",All Students,25%,9948413.08,2480024.59,7468388.49,1281392.87,19874407.4,944522.57,94.06503107,13533440.9
"Burlington-South Burlington, VT",American Indian or Alaska Native,25%,33259.45,9273.28,23986.16,4164.02,94451.28,4940.73,0.255027589,43445.27
"Burlington-South Burlington, VT",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Burlington-South Burlington, VT",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Burlington-South Burlington, VT",Black,25%,61478.88,17293.91,44184.97,7847.89,182858.94,8778.5,0.47080656,80291.4
"Burlington-South Burlington, VT","White, Non-Hispanic",25%,674019.74,204770.43,469249.31,80469,1763902.89,79071.61,5.101736859,878718
"Burlington-South Burlington, VT",All Students,25%,679920.73,183087.53,496833.2,85492.84,1929774.22,90288.94,5.239131095,888812.17
"Canton-Massillon, OH",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Black,25%,605656.86,143491.73,462165.14,53422.46,1322319.24,58159.36,5.595951591,793628
"Canton-Massillon, OH","White, Non-Hispanic",25%,2492304.21,673436.86,1818867.35,221778.14,6067513.54,196678.76,22.67148981,3257998.45
"Canton-Massillon, OH",All Students,25%,2778715.37,642548.93,2136166.44,246601.19,6127765.68,257911.15,25.74161207,3642601.73
"Cape Coral-Fort Myers, FL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cape Coral-Fort Myers, FL",Asian/Pacific Islander,25%,49332.25,13728.13,35604.12,3558.29,118011.61,4716,0.324775931,62162.33
"Cape Coral-Fort Myers, FL",Hispanic,25%,1529104.87,389129.52,1139975.35,111073.81,3541517.72,166916.57,10.14485468,1927984.47
"Cape Coral-Fort Myers, FL",Black,25%,788671.38,198254.86,590416.52,57553.45,1836386.86,89398.48,5.237697123,994483.4
"Cape Coral-Fort Myers, FL","White, Non-Hispanic",25%,2923375.34,838384.48,2084990.86,216079.67,7550225.48,270266.39,19.19249771,3682852.54
"Cape Coral-Fort Myers, FL",All Students,25%,4851879.47,1211571.93,3640307.54,353963.94,11248588.12,517268.21,32.23948418,6118294.19
"Casper, WY",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY",Hispanic,25%,2456.14,1309.37,1146.77,188.63,22290.86,10576.72,#DIV/0!,#DIV/0!
"Casper, WY",Black,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY","White, Non-Hispanic",25%,82495.53,29281.28,53214.26,4057.66,237172.27,74190.04,#DIV/0!,#DIV/0!
"Casper, WY",All Students,25%,686386.33,177885.16,508501.17,34773.85,1587230.77,87522.75,4.353079956,861836.6
"Cedar Rapids, IA ",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cedar Rapids, IA ",Asian/Pacific Islander,25%,83529.26,23754.78,59774.49,7948.86,166835.16,3919.3,0.63040154,107316.07
"Cedar Rapids, IA ",Hispanic,25%,88753.98,22220.21,66533.76,8433.06,162318.84,4543.33,0.681592985,114256.47
"Cedar Rapids, IA ",Black,25%,316663.99,80699.76,235964.23,30839.19,643509.72,17337.66,2.426314274,407546.78
"Cedar Rapids, IA ","White, Non-Hispanic",25%,2409886.56,690367.52,1719519.03,232660.77,5092855.24,109604.24,18.16803503,3095776.27
"Cedar Rapids, IA ",All Students,25%,2431419.69,608596.63,1822823.06,232840.76,4585991.79,129839.04,18.67276944,3130071.24
"Champaign-Urbana, IL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Champaign-Urbana, IL",Asian/Pacific Islander,25%,50474.47,15290.82,35183.65,5765.59,138439.23,4582.03,0.408450503,64462.46
"Champaign-Urbana, IL",Hispanic,25%,128354.42,34698.47,93655.95,14962.94,354164.19,13800.09,1.054905584,164159.85
"Champaign-Urbana, IL",Black,25%,697798.56,178271.02,519527.54,82736.95,1965061.18,90148.54,5.775201216,893035.62
"Champaign-Urbana, IL","White, Non-Hispanic",25%,1035092.18,297273.04,737819.14,124948.2,3142807.29,103985.85,8.439412033,1322860.85
"Champaign-Urbana, IL",All Students,25%,1708847.41,433015.11,1275832.3,199952.49,4658301.54,203006.21,14.1567487,2187165.03
"Charleston, WV ",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Black,25%,444042.87,104575.46,339467.41,37682.74,799056.62,26829.67,3.172906736,567340.5
"Charleston, WV ","White, Non-Hispanic",25%,4845291.44,1280420.53,3564870.91,408585.77,9667979.87,236346.71,34.11937669,6179895.55
"Charleston, WV ",All Students,25%,4283488.42,964535.78,3318952.64,364388.2,7415512.37,252469.58,30.76732736,5476315.01
"Charleston-North Charleston-Summerville, SC",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston-North Charleston-Summerville, SC",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston-North Charleston-Summerville, SC",Hispanic,25%,650303.28,164761.76,485541.53,52002.47,1451458.78,54261.59,5.329902909,840519.96
"Charleston-North Charleston-Summerville, SC",Black,25%,7684805.83,1894645.21,5790160.61,613706.72,16432939.65,636322.45,63.19382288,9937096.75
